peak_hour,year,season,community,num_stations,total_docks,docks_in_service,available_docks,available_bikes,percent_full
No,2014,Spring,HYDE PARK,5,15,14.7228125,7.70125,7.0215625,47.691719907456545
No,2014,Spring,KENWOOD,4,14,13.816796875,7.56015625,6.256640625,45.282858839162024
No,2014,Spring,LAKE VIEW,34,16.390211397058824,16.14669117647059,8.09967830882353,8.047012867647059,49.83691568569411
No,2014,Spring,LINCOLN PARK,36,16.221310763888887,15.954600694444444,8.069140625,7.885460069444444,49.42436492434588
No,2014,Spring,LINCOLN SQUARE,7,15.569419642857143,15.3203125,7.9046875,7.415625,48.403875573686896
No,2014,Spring,LOGAN SQUARE,12,14.819791666666667,14.576302083333333,7.445833333333333,7.13046875,48.91822843156522
No,2014,Spring,LOOP,27,24.659027777777776,24.385821759259258,15.047916666666666,9.337905092592592,38.292353584709545
No,2014,Spring,LOWER WEST SIDE,13,14.068990384615384,13.946274038461539,7.594471153846154,6.351802884615385,45.54480190980152
No,2014,Spring,NEAR NORTH SIDE,34,20.27049632352941,20.004063314408043,10.693482990506329,9.310580323901712,46.54344558685591
No,2014,Spring,NEAR SOUTH SIDE,11,18.635795454545455,18.405539772727273,10.222869318181818,8.182670454545455,44.457650009646926
No,2014,Spring,NEAR WEST SIDE,41,17.73003048780488,17.51981707317073,8.961128048780488,8.558689024390244,48.851474810754375
No,2014,Spring,NORTH CENTER,6,14.333333333333334,14.118489583333332,6.820572916666666,7.297916666666667,51.69049156137601
No,2014,Spring,SOUTH LAWNDALE,1,15,15,8.4234375,6.5765625,43.84375
No,2014,Spring,UPTOWN,12,14.997135416666666,14.814583333333333,7.320182291666667,7.494401041666666,50.58799746871044
No,2014,Spring,WASHINGTON PARK,1,15,14.9328125,8.7953125,6.1375,41.100763838024484
No,2014,Spring,WEST TOWN,29,15.185775862068965,14.964547413793104,7.6985452586206895,7.266002155172414,48.55477385487251
No,2014,Summer,ARMOUR SQUARE,4,13,12.760418639893919,7.1181094904337945,5.642309149460125,44.21727302754881
No,2014,Summer,BRIDGEPORT,7,13.285714285714286,13.119557275458014,6.803371850729305,6.316185424728709,48.143281759545545
No,2014,Summer,DOUGLAS,9,13.35183431205405,13.181536907242533,6.963482140977879,6.218054766264655,47.172456520211796
No,2014,Summer,EDGEWATER,1,15,14.704300056828945,5.256866830839174,9.447433225989771,64.24945893022776
No,2014,Summer,GRAND BOULEVARD,6,14.333333333333334,14.13080128812275,8.22886278966976,5.90193849845299,41.76648144796785
No,2014,Summer,HYDE PARK,5,15,14.734533055502936,7.80181852623603,6.932714529266907,47.05079219784119
No,2014,Summer,KENWOOD,4,14,13.838984656184884,7.929342678537601,5.909641977647282,42.702858081471746
No,2014,Summer,LAKE VIEW,34,16.994840823239695,16.573515483101747,8.699062879556065,7.874452603545681,47.512265044639584
No,2014,Summer,LINCOLN PARK,36,16.23681358001305,15.788164846035656,8.608990549556944,7.17917429647871,45.47187318152034
No,2014,Summer,LINCOLN SQUARE,7,15.568316510161557,15.25202283982356,7.6080155873677375,7.644007252455823,50.11798980851939
No,2014,Summer,LOGAN SQUARE,12,14.994301319694387,14.688482667171813,7.474884763528446,7.213597903643366,49.11057232457017
No,2014,Summer,LOOP,27,25.661867777988256,25.164909178926987,16.548448429486506,8.616460749440481,34.23998349517541
No,2014,Summer,LOWER WEST SIDE,13,14.076179929182391,13.860317367799846,7.44051175193437,6.419805615865475,46.31788324544361
No,2014,Summer,NEAR NORTH SIDE,34,20.821679685323648,20.270973780684844,12.384419954759704,7.886553825925142,38.90564859513472
No,2014,Summer,NEAR SOUTH SIDE,11,18.982951316537225,18.615457473006252,11.031462570390397,7.583994902615854,40.740309034108826
No,2014,Summer,NEAR WEST SIDE,41,17.788425376202994,17.370663327773645,9.601370363012212,7.769292964761434,44.72651860300147
No,2014,Summer,NORTH CENTER,6,14.323040979983583,13.934488855212477,6.332449327524152,7.602039527688325,54.55556789113673
No,2014,Summer,SOUTH LAWNDALE,1,15,14.736124265959463,7.709414661867778,7.026709604091684,47.683566433566426
No,2014,Summer,UPTOWN,12,14.99753741238871,14.647849971585527,7.107643493085812,7.540206478499716,51.47654087887644
No,2014,Summer,WASHINGTON PARK,1,15,14.64860769085054,9.062511839363516,5.586095851487024,38.13397129186603
No,2014,Summer,WEST TOWN,29,15.272785467467061,14.927500636876106,7.627711622499037,7.29978901437707,48.90161582940454
No,2014,Winter,ARMOUR SQUARE,4,12.986456661316211,12.958768057784912,7.874899678972713,5.083868378812199,39.23110866822014
No,2014,Winter,BRIDGEPORT,7,13.281930749828021,13.26473285943591,7.950814033478561,5.313918825957349,40.06050391114568
No,2014,Winter,DOUGLAS,9,13.582842874977706,13.580791867308722,8.779070804351703,4.801721062957018,35.356709018680846
No,2014,Winter,EDGEWATER,1,15,15,8.94943820224719,6.050561797752809,40.337078651685395
No,2014,Winter,GRAND BOULEVARD,6,13.245585874799358,13.218699839486357,8.899210807918672,4.3194890315676835,32.6771095797537
No,2014,Winter,HYDE PARK,5,15,14.962600321027287,8.809791332263243,6.152808988764045,41.1212547067595
No,2014,Winter,KENWOOD,4,14,13.938402889245586,8.803270465489566,5.135132423756019,36.8416128057119
No,2014,Winter,LAKE VIEW,34,16.951480030214334,16.87799782834482,10.406300160513643,6.471697667831178,38.34398921987442
No,2014,Winter,LINCOLN PARK,36,16.398296771892277,16.3234126984127,9.564428393080078,6.75898430533262,41.40668639707841
No,2014,Winter,LINCOLN SQUARE,7,16.93625315294657,16.9079912864022,10.837881219903693,6.0701100664985095,35.900835076608026
No,2014,Winter,LOGAN SQUARE,12,14.937132156233279,14.890783841626538,8.811964954521134,6.078818887105404,40.82269242343261
No,2014,Winter,LOOP,27,25.687355091849472,25.60421496938351,16.98354735152488,8.62066761785863,33.66893938426496
No,2014,Winter,LOWER WEST SIDE,13,13.826243980738363,13.796826768736882,8.341122360785281,5.455704407951599,39.543182641924815
No,2014,Winter,NEAR NORTH SIDE,34,20.821947880275705,20.709458502502123,12.576940326692474,8.13251817580965,39.26958387070853
No,2014,Winter,NEAR SOUTH SIDE,11,18.92371953888808,18.879213483146067,12.173901940755874,6.705311542390194,35.51690089407691
No,2014,Winter,NEAR WEST SIDE,41,17.882678228868965,17.80247034412559,10.58061895626982,7.221851387855772,40.56656884272704
No,2014,Winter,NORTH CENTER,6,14.333333333333334,14.303370786516854,8.123662386302836,6.179708400214018,43.20455990723076
No,2014,Winter,SOUTH LAWNDALE,1,15,15,10.259630818619582,4.740369181380418,31.602461209202787
No,2014,Winter,UPTOWN,12,15,14.966760299625468,9.20846709470305,5.758293204922419,38.47387871286023
No,2014,Winter,WASHINGTON PARK,1,15,14.762439807383627,10.58868378812199,4.173756019261638,28.272806349896705
No,2014,Winter,WEST TOWN,29,15.247177173852881,15.181739121887787,8.991637895398634,6.190101226489152,40.77333417990809
Yes,2014,Fall,ARMOUR SQUARE,4,13,12.865013577247392,6.8829855652422465,5.982028012005145,46.498419734159846
Yes,2014,Fall,BRIDGEPORT,7,13.285714285714286,13.152963514975806,7.605728985891913,5.547234529083893,42.17478838717889
Yes,2014,Fall,DOUGLAS,9,13.666666666666666,13.557762850745558,7.522239690025884,6.0355231607196735,44.51710232110877
Yes,2014,Fall,EDGEWATER,1,15,14.821637844790624,7.279405459482636,7.542232385307989,50.88663253203738
Yes,2014,Fall,GRAND BOULEVARD,6,13.52451050450193,13.380377304559097,7.270782716402268,6.109594588156829,45.66085431742726
Yes,2014,Fall,HYDE PARK,5,14.98070601686437,14.74892096612834,7.6884093182792625,7.060511647849078,47.871377601547316
Yes,2014,Fall,KENWOOD,4,14,13.93272116621409,8.511183364298986,5.421537801915107,38.912268014535236
Yes,2014,Fall,LAKE VIEW,34,17.083060807572995,16.861751675087643,9.729909456994173,7.131842218093468,42.29597467403338
Yes,2014,Fall,LINCOLN PARK,36,16.440291871119367,16.196222984453655,9.191141441570197,7.005081542883458,43.25132810043094
Yes,2014,Fall,LINCOLN SQUARE,7,16.55478878703118,16.35235509095735,9.397598970987566,6.954756119969783,42.53060847373402
Yes,2014,Fall,LOGAN SQUARE,12,15,14.78701586394169,8.51200514506217,6.2750107188795194,42.435950408230816
Yes,2014,Fall,LOOP,27,26.10586018346487,25.72156850290336,16.762326711447763,8.959241791455597,34.83163085658757
Yes,2014,Fall,LOWER WEST SIDE,13,13.890029792988203,13.736678356658349,7.8414815140554746,5.895196842602874,42.91573762987174
Yes,2014,Fall,NEAR NORTH SIDE,34,20.998192502669212,20.611081219682386,12.337375682014981,8.273705537667404,40.14202578449157
Yes,2014,Fall,NEAR SOUTH SIDE,11,18.97003910766952,18.7444229345044,11.305221718398794,7.439201216105604,39.68754462113451
Yes,2014,Fall,NEAR WEST SIDE,41,17.92545237157388,17.633212143183314,10.175688535504763,7.457523607678552,42.29248503972373
Yes,2014,Fall,NORTH CENTER,6,14.333309513601067,14.20780334429041,7.386880091467772,6.820923252822638,48.00828873777814
Yes,2014,Fall,SOUTH LAWNDALE,1,15,15,8.367014434757753,6.6329855652422465,44.21990376828164
Yes,2014,Fall,UPTOWN,12,14.999976180267733,14.803832594921634,8.429445953027487,6.374386641894145,43.059029484573074
Yes,2014,Fall,WASHINGTON PARK,1,15,14.651707874803487,9.061740746034015,5.589967128769473,38.152324469849205
Yes,2014,Fall,WEST TOWN,29,15.275773360997077,15.015129636839434,8.463336503821836,6.551793133017599,43.6346091674284
Yes,2014,Spring,ARMOUR SQUARE,4,13,12.92426187419769,6.377406931964057,6.546854942233633,50.65554231227652
Yes,2014,Spring,BRIDGEPORT,7,13.285714285714286,13.149459013387126,6.954153676875115,6.195305336512011,47.1145263862546
Yes,2014,Spring,DOUGLAS,9,13.222222222222221,13.113107973184995,7.142633005277421,5.970474967907574,45.53058649495301
Yes,2014,Spring,EDGEWATER,1,15,14.988446726572528,7.7394094993581515,7.2490372272143775,48.36416581020898
Yes,2014,Spring,GRAND BOULEVARD,6,14.333333333333334,14.247111681643132,7.693196405648267,6.553915275994865,46.00171194305537
Yes,2014,Spring,HYDE PARK,5,15,14.725288831835687,7.729653401797176,6.995635430038511,47.507627931305024
Yes,2014,Spring,KENWOOD,4,14,13.808729139922978,7.639281129653401,6.169448010269576,44.67788416844846
